"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","29-Jul-2011","837.35","840.00","847.25","823.15","828.00","827.95","835.82","48,90,181","4,08,72,94,012.25","1,30,721","26,79,709","54.80"
"RELIANCE","EQ","01-Aug-2011","827.95","838.00","838.00","821.35","831.50","830.85","828.70","32,55,486","2,69,78,05,115.00","87,062","16,61,701","51.04"
"RELIANCE","EQ","02-Aug-2011","830.85","827.55","838.90","818.50","837.55","837.30","829.55","37,87,775","3,14,21,31,047.85","1,06,684","17,93,988","47.36"
"RELIANCE","EQ","03-Aug-2011","837.30","826.75","836.20","823.10","825.25","825.05","828.40","32,19,680","2,66,71,71,912.35","66,906","16,49,112","51.22"
"RELIANCE","EQ","04-Aug-2011","825.05","828.00","831.65","810.05","811.00","812.35","820.84","31,40,142","2,57,75,68,098.65","88,226","14,69,924","46.81"
"RELIANCE","EQ","05-Aug-2011","812.35","799.50","799.50","779.00","791.90","792.00","789.79","59,94,097","4,73,40,88,696.05","1,57,581","30,40,193","50.72"
"RELIANCE","EQ","08-Aug-2011","792.00","776.70","796.40","767.00","780.25","780.65","781.35","50,84,300","3,97,26,39,513.05","1,39,239","21,42,216","42.13"
"RELIANCE","EQ","09-Aug-2011","780.65","753.00","779.00","753.00","767.50","765.30","765.19","74,63,019","5,71,05,93,267.15","1,67,300","35,86,853","48.06"
"RELIANCE","EQ","09-Aug-2011","780.65","753.00","779.00","753.00","767.50","765.30","765.19","74,63,019","5,71,05,93,267.15","1,67,300","35,86,853","48.06"
"RELIANCE","EQ","10-Aug-2011","765.30","785.35","790.00","765.00","770.40","772.75","776.76","40,56,543","3,15,09,63,149.10","1,13,131","20,57,041","50.71"
"RELIANCE","EQ","11-Aug-2011","772.75","768.35","784.95","765.00","770.80","772.20","776.23","24,89,305","1,93,22,77,634.65","77,957","9,48,672","38.11"
"RELIANCE","EQ","12-Aug-2011","772.20","783.00","783.00","758.00","758.90","760.90","767.38","39,36,767","3,02,09,92,127.60","1,12,482","22,62,471","57.47"
"RELIANCE","EQ","16-Aug-2011","760.90","760.00","772.30","754.70","764.10","759.15","765.21","25,80,004","1,97,42,40,987.10","77,229","13,40,975","51.98"
"RELIANCE","EQ","17-Aug-2011","759.15","760.50","774.40","751.00","753.80","755.00","759.89","30,96,352","2,35,28,85,823.45","78,570","13,32,358","43.03"
"RELIANCE","EQ","18-Aug-2011","755.00","757.70","760.00","737.00","737.65","741.20","747.18","39,14,915","2,92,51,26,762.65","90,562","19,94,411","50.94"
"RELIANCE","EQ","19-Aug-2011","741.20","731.05","739.00","721.30","731.00","732.55","729.26","46,63,092","3,40,05,84,787.20","1,02,499","23,35,146","50.08"
"RELIANCE","EQ","22-Aug-2011","732.55","731.00","759.85","725.60","759.85","757.00","741.80","35,52,807","2,63,54,85,002.85","91,864","13,57,416","38.21"
"RELIANCE","EQ","23-Aug-2011","757.00","760.35","772.00","747.50","765.60","765.25","760.12","40,08,613","3,04,70,45,257.05","1,20,271","23,37,942","58.32"
"RELIANCE","EQ","24-Aug-2011","765.25","764.00","769.50","756.00","760.00","761.30","762.17","29,68,791","2,26,27,33,043.30","69,105","16,82,164","56.66"
"RELIANCE","EQ","25-Aug-2011","761.30","761.60","769.00","750.25","751.00","753.50","757.21","48,49,218","3,67,18,88,390.00","86,360","29,71,967","61.29"
"RELIANCE","EQ","26-Aug-2011","753.50","751.00","756.10","712.00","722.00","719.40","735.29","44,57,788","3,27,77,58,581.20","1,14,276","22,61,771","50.74"
"RELIANCE","EQ","29-Aug-2011","719.40","731.10","759.90","728.35","754.35","755.05","747.58","41,86,930","3,13,00,84,704.85","1,01,102","21,95,594","52.44"
"RELIANCE","EQ","30-Aug-2011","755.05","765.00","796.30","764.00","785.05","782.60","779.16","78,21,448","6,09,41,78,274.75","1,52,811","41,44,465","52.99"
"RELIANCE","EQ","02-Sep-2011","782.60","796.70","813.70","789.45","805.20","805.45","802.88","77,91,545","6,25,56,37,954.75","1,37,175","47,84,504","61.41"
"RELIANCE","EQ","05-Sep-2011","805.45","794.50","799.00","782.95","788.75","788.85","789.07","45,67,377","3,60,39,85,596.60","92,381","21,41,609","46.89"
"RELIANCE","EQ","06-Sep-2011","788.85","783.20","825.50","776.50","825.10","821.50","801.44","71,62,305","5,74,01,49,346.50","1,31,295","34,00,142","47.47"
"RELIANCE","EQ","07-Sep-2011","821.50","824.00","843.50","823.70","833.00","833.50","833.91","71,86,238","5,99,26,70,775.85","1,24,508","40,41,586","56.24"
"RELIANCE","EQ","08-Sep-2011","833.50","833.50","859.00","814.50","857.50","852.45","837.02","80,65,388","6,75,08,53,778.55","1,66,292","33,10,878","41.05"
"RELIANCE","EQ","09-Sep-2011","852.45","852.15","858.55","823.70","824.40","825.75","837.29","67,57,863","5,65,83,04,618.95","1,37,445","32,41,788","47.97"
"RELIANCE","EQ","12-Sep-2011","825.75","810.35","822.45","795.25","805.00","806.30","808.08","42,46,961","3,43,18,67,132.55","1,00,727","12,51,431","29.47"
"RELIANCE","BL","12-Sep-2011","869.70","815.00","815.00","815.00","815.00","815.00","815.00","5,00,579","40,79,71,885.00","1","5,00,579","100.00"
"RELIANCE","EQ","13-Sep-2011","806.30","813.20","824.75","796.75","812.00","810.25","811.99","58,06,114","4,71,44,78,709.30","1,23,027","20,18,672","34.77"
"RELIANCE","EQ","14-Sep-2011","810.25","813.90","829.75","805.20","826.85","825.40","816.77","46,94,876","3,83,46,53,493.05","1,12,644","12,94,762","27.58"
"RELIANCE","EQ","15-Sep-2011","825.40","833.00","838.60","813.55","835.30","836.30","827.65","46,64,709","3,86,07,37,147.15","1,07,864","15,12,161","32.42"
"RELIANCE","EQ","16-Sep-2011","836.30","850.00","850.00","821.00","828.00","825.65","832.76","61,28,496","5,10,35,58,809.15","97,691","28,35,648","46.27"
"RELIANCE","EQ","19-Sep-2011","825.65","825.00","829.15","815.60","823.05","821.55","822.54","29,24,971","2,40,59,05,846.65","58,507","10,53,425","36.01"
