,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
1429,RELIANCE,EQ,2020-10-14,"2,280.70","2,278.90","2,304.00","2,268.50","2,283.00","2,287.50","2,284.78","1,23,41,487","28,19,75,89,496.85","2,81,008","43,73,851",35.44
1430,RELIANCE,EQ,2020-10-15,"2,287.50","2,290.00","2,290.00","2,195.00","2,203.25","2,206.50","2,241.04","92,46,893","20,72,26,39,246.60","2,65,699","31,00,443",33.53
1431,RELIANCE,EQ,2020-10-16,"2,206.50","2,215.00","2,232.50","2,172.65","2,178.00","2,175.80","2,197.33","99,61,080","21,88,77,76,009.80","2,87,579","21,06,731",21.15
1432,RELIANCE,EQ,2020-10-19,"2,175.80","2,190.05","2,228.70","2,155.15","2,175.50","2,176.20","2,189.75","1,43,99,062","31,53,03,32,262.55","3,63,717","37,72,907",26.20
1433,RELIANCE,EQ,2020-10-20,"2,176.20","2,179.00","2,193.00","2,152.25","2,155.85","2,155.90","2,166.54","85,29,621","18,47,97,42,687.70","2,75,082","21,19,328",24.85
1434,RELIANCE,EQ,2020-10-21,"2,155.90","2,168.00","2,192.00","2,097.75","2,122.65","2,124.60","2,143.87","1,57,29,989","33,72,31,25,351.95","3,99,065","39,75,978",25.28
1435,RELIANCE,EQ,2020-10-22,"2,124.60","2,127.40","2,132.50","2,091.00","2,111.90","2,106.95","2,107.04","1,42,15,255","29,95,21,15,114.75","3,91,498","58,36,281",41.06
1436,RELIANCE,EQ,2020-10-23,"2,106.95","2,106.00","2,135.00","2,096.40","2,112.00","2,113.05","2,118.90","1,08,09,383","22,90,40,53,633.90","2,65,187","35,51,502",32.86
1437,RELIANCE,EQ,2020-10-26,"2,113.05","2,101.95","2,101.95","2,018.50","2,034.90","2,029.10","2,052.69","1,72,25,340","35,35,83,22,555.55","5,81,238","63,24,776",36.72
1438,RELIANCE,EQ,2020-10-27,"2,029.10","2,034.90","2,059.85","2,005.00","2,034.40","2,034.50","2,026.38","1,68,35,011","34,11,40,88,505.60","4,62,764","51,99,796",30.89
1439,RELIANCE,EQ,2020-10-28,"2,034.50","2,041.80","2,057.70","2,007.40","2,008.90","2,011.45","2,026.02","1,38,10,054","27,97,94,42,354.80","4,13,849","48,22,048",34.92
